Possible permutations are:
Test Case 0,bluetooth,camera,usb,wifi
Test Case 1,bluetooth,camera,wifi,usb
Test Case 2,bluetooth,usb,camera,wifi
Test Case 3,bluetooth,usb,wifi,camera
Test Case 4,bluetooth,wifi,camera,usb
Test Case 5,bluetooth,wifi,usb,camera
Test Case 6,camera,bluetooth,usb,wifi
Test Case 7,camera,bluetooth,wifi,usb
Test Case 8,camera,usb,bluetooth,wifi
Test Case 9,camera,usb,wifi,bluetooth
Test Case 10,camera,wifi,bluetooth,usb
Test Case 11,camera,wifi,usb,bluetooth
Test Case 12,usb,bluetooth,camera,wifi
Test Case 13,usb,bluetooth,wifi,camera
Test Case 14,usb,camera,bluetooth,wifi
Test Case 15,usb,camera,wifi,bluetooth
Test Case 16,usb,wifi,bluetooth,camera
Test Case 17,usb,wifi,camera,bluetooth
Test Case 18,wifi,bluetooth,camera,usb
Test Case 19,wifi,bluetooth,usb,camera
Test Case 20,wifi,camera,bluetooth,usb
Test Case 21,wifi,camera,usb,bluetooth
Test Case 22,wifi,usb,bluetooth,camera
Test Case 23,wifi,usb,camera,bluetooth
